var_name,class,n,min,max
a1sagree,"haven_labelled,vctrs_vctr,double",6271,1,4
a1sextra,"haven_labelled,vctrs_vctr,double",6271,1,4
a1sneuro,"haven_labelled,vctrs_vctr,double",6265,1,4
a1scons,"haven_labelled,vctrs_vctr,double",6270,1,4
a1sopen,"haven_labelled,vctrs_vctr,double",6264,1,4
