"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"big5_item_n",1,6292,1.11991455778805,0.478944112650591,1.13333333333333,1.11956725072041,0.43772,-2.11111111111111,4.66666666666667,6.77777777777778,0.0487810187213933,1.5016903114799,0.0060379634833682
"big5_item_e",2,6280,1.84365388989991,0.460187423086989,1.77777777777778,1.8256248578253,0.4942,1,3.88888888888889,2.88888888888889,0.394649584959337,-0.112850007770935,0.00580704141493892
"big5_item_o",3,6266,2.58861430271624,2.44966612893443,1.83843358333333,1.95262690664271,0.564957534272727,0.519705,26.5031490909091,25.9834440909091,3.27185742424011,12.5281159877191,0.0309465116816339
"big5_item_c",4,6270,1.57912014885699,0.442321751497602,1.5,1.54324494949495,0.37065,1,4,3,0.706163997283972,0.266306590739741,0.00558604623821033
"big5_item_a",5,6288,4.61403248027771,0.54435228517613,4.61538461538461,4.63154963246875,0.570230769230769,0.538461538461538,8,7.46153846153846,-0.452453718888076,1.87568487280552,0.00686473511245682
